bnum	seqid	name	start	stop	strand	length	PID	description	operon_id	type
52	b0052	pdxA	52427	53416	-	330	1786237	pyridoxine biosynthesis	32	ORF
53	b0053	surA	53416	54702	-	429	1786238	survival protein	32	ORF
54	b0054	imp	54755	57109	-	785	1786239	organic solvent tolerance	33	ORF
55	b0055	yabH	57364	58179	+	272	1786241	putative DNA binding protein	34	ORF
56	b0056	yabP	58474	59124	+	217	1786242	orf, hypothetical protein	35	ORF
57	b0057	yabQ	59121	59279	+	53	1786243	orf, hypothetical protein	35	ORF
58	b0058	yabO	59687	60346	-	220	1786244	orf, hypothetical protein	36	ORF
59	b0059	hepA	60358	63264	-	969	1786245	probable ATP-dependent RNA helicase	36	ORF
60	b0060	polB	63429	65780	-	784	1786246	DNA polymerase II	37	ORF
61	b0061	araD	65855	66550	-	232	1786247	L-ribulose-5-phosphate 4-epimerase	38	ORF
62	b0062	araA	66835	68337	-	501	1786248	L-arabinose isomerase	38	ORF
63	b0063	araB	68348	70048	-	567	1786249	L-ribulokinase	38	ORF
64	b0064	araC	70387	71265	+	293	1786251	transcriptional regulator for ara operon	39	ORF
65	b0065	yabI	71351	72115	+	255	1786252	orf, hypothetical protein	40	ORF
66	b0066	yabJ	72229	72927	-	233	1786253	putative ATP-binding component of a transport system	41	ORF
67	b0067	yabK	72911	74521	-	537	1786254	putative transport system permease protein	41	ORF
68	b0068	tbpA	74497	75480	-	328	1786255	thiamin-binding periplasmic protein	41	ORF
69	b0069	yabN	75644	77299	-	552	1786256	putative transport protein	42	ORF
70	b0070	setA	77621	78799	+	393	1786257	Sugar efflux protein	43	ORF
71	b0071	leuD	78848	79453	-	202	1786258	isopropylmalate isomerase subunit	44	ORF
72	b0072	leuC	79464	80864	-	467	1786259	3-isopropylmalate isomerase (dehydratase) subunit	44	ORF
73	b0073	leuB	80867	81961	-	365	1786260	3-isopropylmalate dehydrogenase	44	ORF
74	b0074	leuA	81958	83529	-	524	1786261	2-isopropylmalate synthase	44	ORF
75	b0075	leuL	83622	83708	-	29	1786263	leu operon leader peptide	44	ORF
76	b0076	leuO	84191	85312	+	374	1786264	probable transcriptional activator for leuABCD operon	45	ORF
77	b0077	ilvI	85540	87354	+	605	1786265	acetolactate synthase III, valine sensitive, large subunit	45	ORF
78	b0078	ilvH	87357	87848	+	164	1786266	acetolactate synthase III, valine sensitive, small subunit	45	ORF
79	b0079	fruL	87860	87946	+	29	1786267	fruR leader peptide	46	ORF
80	b0080	fruR	88028	89032	+	335	1786268	transcriptional repressor of fru operon and others	46	ORF
81	b0081	yabB	89634	90092	+	153	1786269	orf, hypothetical protein	47	ORF
82	b0082	yabC	90094	91035	+	314	1786270	putative apolipoprotein	47	ORF
83	b0083	ftsL	91032	91397	+	122	1786271	cell division protein; ingrowth of wall at septum	47	ORF
84	b0084	ftsI	91413	93179	+	589	1786272	septum formation; penicillin-binding protein 3; peptidoglycan synthetase	47	ORF
85	b0085	murE	93166	94653	+	496	1786273	meso-diaminopimelate-adding enzyme	47	ORF
86	b0086	murF	94650	96008	+	453	1786274	D-alanine:D-alanine-adding enzyme	47	ORF
87	b0087	mraY	96002	97084	+	361	1786275	phospho-N-acetylmuramoyl-pentapeptide transferase?	47	ORF
88	b0088	murD	97087	98403	+	439	1786276	UDP-N-acetylmuramoylalanine-D-glutamate ligase	47	ORF
89	b0089	ftsW	98403	99647	+	415	1786277	cell division; membrane protein involved in shape determination	47	ORF
90	b0090	murG	99644	100711	+	356	1786278	UDP-N-acetylglucosamine:N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	47	ORF
91	b0091	murC	100765	102240	+	492	1786279	L-alanine adding enzyme, UDP-N-acetyl-muramate:alanine ligase	47	ORF
92	b0092	ddlB	102233	103153	+	307	1786280	D-alanine-D-alanine ligase B, affects cell division	47	ORF
93	b0093	ftsQ	103155	103985	+	277	1786281	cell division protein; ingrowth of wall at septum	48	ORF
94	b0094	ftsA	103982	105244	+	421	1786282	ATP-binding cell division protein, septation process, complexes with FtsZ, associated with junctions of inner and outer membranes	48	ORF
95	b0095	ftsZ	105305	106456	+	384	1786284	cell division; forms circumferential ring; tubulin-like GTP-binding protein and GTPase	48	ORF
96	b0096	lpxC	106557	107474	+	306	1786285	UDP-3-O-acyl N-acetylglucosamine deacetylase; lipid A biosynthesis	49	ORF
97	b0097	yacA	107630	108217	+	196	1786286	orf, hypothetical protein	50	ORF
98	b0098	secA	108279	110984	+	902	1786287	preprotein translocase; secretion protein	51	ORF
99	b0099	mutT	111044	111433	+	130	1786288	7,8-dihydro-8-oxoguanine-triphosphatase, prefers dGTP, causes AT-GC transversions	52	ORF
100	b0100	b0100	111564	111698	-	45	1786289	orf, hypothetical protein	53	ORF
101	b0101	yacG	111649	111846	-	66	1786290	orf, hypothetical protein	53	ORF
102	b0102	yacF	111856	112599	-	248	1786291	orf, hypothetical protein	53	ORF
103	b0103	yacE	112599	113219	-	207	1786292	putative DNA repair protein	53	ORF
104	b0104	guaC	113444	114487	+	348	1786293	GMP reductase	54	ORF
105	b0105	b0105	114407	114514	-	36	1786294	orf, hypothetical protein	55	ORF
106	b0106	hofC	114522	115724	-	401	1786295	putative integral membrane protein involved in biogenesis of fimbriae, protein transport, DNA uptake	55	ORF
107	b0107	hofB	115714	117099	-	462	1786296	putative integral membrane protein involved in biogenesis of fimbriae, protein transport, DNA uptake	55	ORF
108	b0108	ppdD	117109	117549	-	147	1786297	prelipin peptidase dependent protein	55	ORF
109	b0109	nadC	117752	118645	-	298	1786299	quinolinate phosphoribosyltransferase	56	ORF
110	b0110	ampD	118733	119284	+	184	1786300	regulates ampC	57	ORF
111	b0111	ampE	119281	120135	+	285	1786301	regulates ampC	57	ORF
112	b0112	aroP	120178	121551	-	458	1786302	aromatic amino acid transport protein	58	ORF
113	b0113	pdhR	122092	122856	+	255	1786303	transcriptional regulator for pyruvate dehydrogenase complex	59	ORF
114	b0114	aceE	123017	125680	+	888	1786304	pyruvate dehydrogenase (decarboxylase component)	59	ORF
115	b0115	aceF	125695	127587	+	631	1786305	pyruvate dehydrogenase (dihydrolipoyltransacetylase component)	59	ORF
116	b0116	lpdA	127912	129336	+	475	1786307	lipoamide dehydrogenase (NADH); component of 2-oxodehydrogenase and pyruvate complexes; L-protein of glycine cleavage complex	59	ORF
117	b0117	yacH	129407	131260	-	618	1786308	putative membrane protein	60	ORF
118	b0118	acnB	131615	134212	+	866	2367097	aconitate hydrase B	61	ORF
119	b0119	yacL	134340	134750	+	137	1786310	orf, hypothetical protein	62	ORF
120	b0120	speD	134788	135582	-	265	1786311	S-adenosylmethionine decarboxylase	63	ORF
121	b0121	speE	135598	136464	-	289	1786312	spermidine synthase = putrescine aminopropyltransferase	63	ORF
122	b0122	yacC	136570	137040	-	157	1786313	orf, hypothetical protein	64	ORF
123	b0123	yacK	137083	138633	+	517	1786314	orf, hypothetical protein	65	ORF
124	b0124	gcd	138835	141225	-	797	1786316	glucose dehydrogenase	66	ORF
125	b0125	hpt	141419	141967	+	183	1786317	hypoxanthine phosphoribosyltransferase	67	ORF
126	b0126	yadF	142008	142670	-	221	1786318	putative carbonic anhdrase (EC 4.2.1.1)	68	ORF
127	b0127	yadG	142779	143705	+	309	1786319	putative ATP-binding component of a transport system	69	ORF
128	b0128	yadH	143702	144472	+	257	1786320	orf, hypothetical protein	69	ORF
129	b0129	yadI	144577	145017	+	147	1786321	putative PTS enzyme II B component	70	ORF
130	b0130	yadE	145081	146310	+	410	1786322	orf, hypothetical protein	71	ORF
131	b0131	panD	146314	146694	-	127	1786323	aspartate 1-decarboxylase	72	ORF
132	b0132	yadD	146968	147870	+	301	1786324	orf, hypothetical protein	73	ORF
133	b0133	panC	147944	148795	-	284	1786325	pantothenate synthetase	74	ORF
134	b0134	panB	148807	149601	-	265	1786326	3-methyl-2-oxobutanoate hydroxymethyltransferase	74	ORF
135	b0135	yadC	149715	150953	-	413	1786328	putative fimbrial-like protein	75	ORF
136	b0136	yadK	151003	151599	-	199	1786329	putative fimbrial protein	75	ORF
137	b0137	yadL	151626	152231	-	202	1786330	putative fimbrial protein	75	ORF
138	b0138	yadM	152243	152854	-	204	1786331	putative fimbrial-like protein	75	ORF
139	b0139	htrE	152829	155426	-	866	1786332	probable outer membrane porin protein involved in fimbrial assembly	76	ORF
140	b0140	ecpD	155461	156201	-	247	1786333	probable pilin chaperone similar to PapD	76	ORF
141	b0141	yadN	156299	156883	-	195	1786334	putative fimbrial-like protein	77	ORF
142	b0142	folK	157253	157732	-	160	1786335	7,8-dihydro-6-hydroxymethylpterin- pyrophosphokinase	78	ORF
143	b0143	pcnB	157729	159093	-	455	1786336	poly(A) polymerase I	78	ORF
144	b0144	yadB	159186	160112	-	309	1786337	putative tRNA synthetase	79	ORF
145	b0145	dksA	160149	160604	-	152	1786338	dnaK suppressor protein	80	ORF
146	b0146	sfsA	160782	161486	-	235	1786340	probable regulator for maltose metabolism	80	ORF
147	b0147	yadP	161501	162040	-	180	1786341	orf, hypothetical protein	81	ORF
148	b0148	hrpB	162060	164534	+	825	1786342	helicase, ATP-dependent	82	ORF
149	b0149	mrcB	164730	167264	+	845	1786343	peptidoglycan synthetase; penicillin-binding protein 1B	83	ORF
150	b0150	fhuA	167484	169727	+	748	1786344	outer membrane protein receptor for ferrichrome, colicin M, and phages T1, T5, and phi80	84	ORF
151	b0151	fhuC	169778	170575	+	266	1786345	ATP-binding component of hydroxymate-dependent iron transport	84	ORF
152	b0152	fhuD	170575	171465	+	297	1786346	hydroxamate-dependent iron uptake, cytoplasmic membrane component	84	ORF
153	b0153	fhuB	171462	173444	+	661	1786347	hydroxamate-dependent iron uptake, cytoplasmic membrane component	84	ORF
154	b0154	hemL	173602	174882	-	427	1786349	glutamate-1-semialdehyde aminotransferase (aminomutase)	85	ORF
155	b0155	yadQ	175107	176528	+	474	1786350	putative channel transporter	86	ORF
156	b0156	yadR	176610	176954	+	115	1786351	orf, hypothetical protein	87	ORF
157	b0157	yadS	177001	177624	-	208	1786352	orf, hypothetical protein	88	ORF
158	b0158	yadT	177662	178462	-	267	1786353	orf, hypothetical protein	88	ORF
159	b0159	pfs	178455	179153	-	233	1786354	orf, hypothetical protein	88	ORF
160	b0160	dgt	179237	180754	+	506	1786355	deoxyguanosine triphosphate triphosphohydrolase	89	ORF
161	b0161	htrA	180884	182308	+	475	1786356	periplasmic serine protease Do; heat shock protein HtrA	90	ORF
162	b0162	yaeG	182445	183620	+	392	1786357	orf, hypothetical protein	91	ORF
163	b0163	yaeH	183709	184095	-	129	1786359	putative structural protein	92	ORF
164	b0164	yaeI	184257	185000	-	248	1786360	orf, hypothetical protein	93	ORF
165	b0165	b0165	184987	185118	-	44	1786361	orf, hypothetical protein	93	ORF
166	b0166	dapD	185123	185947	-	275	1786362	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase	93	ORF
167	b0167	glnD	185978	188650	-	891	1786363	protein PII; uridylyltransferase acts on regulator of glnA	93	ORF
168	b0168	map	188712	189506	-	265	1786364	methionine aminopeptidase	94	ORF
169	b0169	rpsB	189874	190599	+	242	1786365	30S ribosomal subunit protein S2	95	ORF
170	b0170	tsf	190857	191708	+	284	1786366	protein chain elongation factor EF-Ts	95	ORF
171	b0171	pyrH	191855	192580	+	242	1786367	uridylate kinase	96	ORF
172	b0172	frr	192872	193429	+	186	1786368	ribosome releasing factor	97	ORF
173	b0173	dxr	193521	194717	+	399	1786369	1-deoxy-D-xylulose 5-phosphate reductoisomerase	98	ORF
174	b0174	uppS	194903	195664	+	254	1786371	Undecaprenyl pyrophosphate synthetase	99	ORF
175	b0175	cdsA	195785	196534	+	250	1786372	CDP-diglyceride synthetase	100	ORF
176	b0176	yaeL	196546	197898	+	451	1786373	orf, hypothetical protein	100	ORF
177	b0177	yaeT	197928	200360	+	811	1786374	orf, hypothetical protein	100	ORF
178	b0178	hlpA	200482	200967	+	162	1786375	histone-like protein, located in outer membrane or nucleoid	101	ORF
179	b0179	lpxD	200971	201996	+	342	1786376	UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase; third step of endotoxin (lipidA) synthesis	101	ORF
180	b0180	fabZ	202101	202556	+	152	1786377	(3R)-hydroxymyristol acyl carrier protein dehydratase	102	ORF
181	b0181	lpxA	202560	203348	+	263	1786378	UDP-N-acetylglucosamine acetyltransferase; lipid A biosynthesis	103	ORF
182	b0182	lpxB	203348	204496	+	383	1786379	tetraacyldisaccharide-1-P; lipid A biosynthesis, penultimate step	103	ORF
183	b0183	rnhB	204493	205089	+	199	1786380	RNAse HII, degrades RNA of DNA-RNA hybrids	103	ORF
184	b0184	dnaE	205126	208608	+	1161	1786381	DNA polymerase III, alpha subunit	103	ORF
185	b0185	accA	208621	209580	+	320	1786382	acetylCoA carboxylase, carboxytransferase component, alpha subunit	104	ORF
186	b0186	ldcC	209679	211820	+	714	1786384	lysine decarboxylase 2, constitutive	105	ORF
187	b0187	yaeR	211850	212266	+	139	1786385	orf, hypothetical protein	105	ORF
188	b0188	mesJ	212331	213629	+	433	1786386	cell cycle protein	106	ORF
189	b0189	rof	213678	213938	-	87	1786387	Modulator of Rho-dependent transcription termination.	107	ORF
190	b0190	yaeQ	214291	214836	+	182	1786388	orf, hypothetical protein	108	ORF
191	b0191	yaeJ	214833	215255	+	141	1786389	orf, hypothetical protein	108	ORF
192	b0192	cutF	215269	215979	+	237	1786390	copper homeostasis protein (lipoprotein)	108	ORF
193	b0193	yaeF	216179	217057	-	293	1786391	orf, hypothetical protein	109	ORF
194	b0194	proS	217057	218775	-	573	1786392	proline tRNA synthetase	109	ORF
195	b0195	yaeB	218887	219594	-	236	1786393	orf, hypothetical protein	110	ORF
196	b0196	rcsF	219591	219995	-	135	1786394	regulator in colanic acid synthesis; interacts with RcsB	110	ORF
197	b0197	yaeC	220113	220928	-	272	1786396	putative lipoprotein	111	ORF
198	b0198	yaeE	220968	221621	-	218	1786397	putative transport system permease protein	111	ORF
199	b0199	abc	221614	222645	-	344	1786398	ATP-binding component of a transporter	111	ORF
200	b0200	yaeD	222833	223408	+	192	1786399	putative phosphatase	112	ORF
201	b0201	rrsH	223771	225312	+	0	0	16S ribosomal RNA	0	rRNA
204	b0204	rrlH	225759	228662	+	0	0	23S ribosomal RNA	0	rRNA
205	b0205	rrfH	228756	228875	+	0	0	5S ribosomal RNA	0	rRNA
206	b0206	aspU	228928	229004	+	0	0	tRNA-Val	0	tRNA
207	b0207	yafB	229167	229970	+	268	1786400	2,5-diketo-D-gluconate	113	ORF
208	b0208	yafC	229967	230881	-	305	1786401	putative transcriptional regulator LYSR-type	114	ORF
209	b0209	yafD	231122	231922	+	267	1786403	orf, hypothetical protein	115	ORF
210	b0210	yafE	231926	232549	+	208	1786404	putative biotin synthesis protein	115	ORF
211	b0211	dniR	232597	233955	-	453	1786405	transcriptional regulator for nitrite reductase (cytochrome c552)	116	ORF
212	b0212	gloB	234027	234782	-	252	1786406	probable hydroxyacylglutathione hydrolase	117	ORF
213	b0213	yafS	234798	235538	+	247	1786407	orf, hypothetical protein	118	ORF
214	b0214	rnhA	235535	236002	-	156	1786408	RNase HI, degrades RNA of DNA-RNA hybrids, participates in DNA replication	119	ORF
215	b0215	dnaQ	236067	236798	+	244	1786409	DNA polymerase III, epsilon subunit	120	ORF
216	b0216	aspV	236931	237007	+	0	0	tRNA-Sec	0	tRNA
217	b0217	yafT	237335	238120	+	262	1786410	putative aminopeptidase	121	ORF
218	b0218	yafU	238746	239084	-	113	1786411	orf, hypothetical protein	122	ORF
219	b0219	yafV	239419	240189	-	257	1786412	putative EC 3.5. amidase-type enzyme	123	ORF
220	b0220	ykfE	240343	240816	+	158	1786413	orf, hypothetical protein	124	ORF
221	b0221	yafH	240859	243339	-	827	1786414	putative acyl-CoA dehydrogenase (EC 1.3.99.-)	125	ORF
222	b0222	gmhA	243543	244121	+	193	1786416	phosphoheptose isomerase	126	ORF
223	b0223	yafJ	244327	245094	+	256	1786417	putative amidotransferase	127	ORF
224	b0224	yafK	245065	245805	-	247	1786418	orf, hypothetical protein	128	ORF
225	b0225	yafQ	245961	246239	-	93	1786419	orf, hypothetical protein	129	ORF
226	b0226	dinJ	246242	246502	-	87	1786420	damage-inducible protein J	129	ORF
227	b0227	yafL	246712	247461	+	250	1786421	putative lipoprotein	130	ORF
228	b0228	yafM	247637	248134	+	166	1786422	orf, hypothetical protein	131	ORF
229	b0229	fhiA	248358	250097	-	580	1786423	flagellar biosynthesis	132	ORF
230	b0230	mbhA	250042	250827	+	262	1786424	putative motility protein	133	ORF
231	b0231	dinP	250898	251953	+	352	1786425	damage-inducible protein P; putative tRNA synthetase	134	ORF
232	b0232	yafN	252005	252298	+	98	1786426	orf, hypothetical protein	135	ORF
233	b0233	yafO	252301	252699	+	133	1786427	orf, hypothetical protein	135	ORF
234	b0234	yafP	252709	253161	+	151	1786428	orf, hypothetical protein	135	ORF
235	b0235	b0235	253467	253733	+	89	1786430	orf, hypothetical protein	136	ORF
236	b0236	prfH	253702	254202	+	167	1786431	probable peptide chain release factor	136	ORF
237	b0237	pepD	254259	255716	-	486	1786432	aminoacyl-histidine dipeptidase (peptidase D)	137	ORF
238	b0238	gpt	255977	256435	+	153	1786433	guanine-hypoxanthine phosphoribosyltransferase	138	ORF
239	b0239	yafA	256527	257771	+	415	1786434	orf, hypothetical protein	139	ORF
240	b0240	crl	257829	258230	+	134	1786435	transcriptional regulator of cryptic csgA gene for curli surface fibers	140	ORF
241	b0241	phoE	258269	259324	-	352	1786436	outer membrane pore protein E (E,Ic,NmpAB)	141	ORF
242	b0242	proB	259612	260715	+	368	1786437	gamma-glutamate kinase	142	ORF
243	b0243	proA	260727	261980	+	418	1786438	gamma-glutamylphosphate reductase	142	ORF
244	b0244	thrW	262095	262170	+	0	0	tRNA-Thr	0	tRNA
245	b0245	b0245	262552	262893	-	114	1786439	orf, hypothetical protein	143	ORF
246	b0246	yafW	262914	263231	-	106	1786440	orf, hypothetical protein	143	ORF
247	b0247	ykfG	263480	263956	-	159	2367100	putative DNA repair protein	144	ORF
248	b0248	yafX	263972	264430	-	153	1786442	orf, hypothetical protein	144	ORF
249	b0249	ykfF	264528	264767	-	80	1786443	orf, hypothetical protein	145	ORF
250	b0250	ykfB	264844	265311	-	156	1786444	orf, hypothetical protein	146	ORF
251	b0251	yafY	265334	266191	-	286	1786445	orf, hypothetical protein	146	ORF
252	b0252	yafZ	266408	267244	-	279	1786446	orf, hypothetical protein	147	ORF
253	b0253	ykfA	267321	268187	-	289	1786447	putative GTP-binding protein	148	ORF
254	b0254	perR	268513	269406	-	298	1786448	putative transcriptional regulator LYSR-type	149	ORF
255	b0255	yi91a	269466	269870	+	135	1786449	IS911 hypothetical protein, variant (IS911A)	150	ORF
256	b0256	tra8_1	269827	270978	+	384	1786450	IS30 transposase	150	ORF
257	b0257	b0257	271054	271479	+	142	1786451	putative transposase	151	ORF
258	b0258	ykfC	272086	273216	+	377	1786452	orf, hypothetical protein	152	ORF
259	b0259	trs5_1	273325	274341	-	339	1786453	IS5 transposase	153	ORF
260	b0260	mmuP	274525	275952	+	476	1786455	S-methylmethionine permease	154	ORF
261	b0261	mmuM	275939	276871	+	311	1786456	S-methylmethionine:homocysteine methyltransferase	154	ORF
262	b0262	afuC	276980	278038	-	353	1786457	putative ATP-binding component of a transport system	155	ORF
263	b0263	b0263	278038	278400	-	121	1786458	putative transport system permease protein	155	ORF
264	b0264	insB_2	278402	278905	-	168	1786459	IS1 protein InsB	155	ORF
265	b0265	insA_2	278824	279099	-	92	1786460	IS1 protein InsA	155	ORF
266	b0266	yagB	279609	279986	-	126	1786461	orf, hypothetical protein	156	ORF
267	b0267	yagA	280053	281207	-	385	1786462	orf, hypothetical protein	157	ORF
268	b0268	yagE	281481	282410	+	310	1786463	putative lyase/synthase	158	ORF
269	b0269	yagF	282425	284392	+	656	1786464	putative dehydratase	158	ORF
270	b0270	yagG	284619	286001	+	461	1786466	putative permease	159	ORF
271	b0271	yagH	286013	287623	+	537	1786467	putative beta-xylosidase (EC 3.2.1.37)	159	ORF
272	b0272	yagI	287628	288386	-	253	1786468	putative regulator	160	ORF
273	b0273	argF	288525	289529	-	335	1786469	ornithine carbamoyltransferase 2, chain F	161	ORF
274	b0274	insB_3	289873	290376	-	168	1786470	IS1 protein InsB	162	ORF
275	b0275	insA_3	290295	290570	-	92	1786471	IS1 protein InsA	162	ORF
276	b0276	yagJ	290724	291455	+	244	1786472	orf, hypothetical protein	163	ORF
277	b0277	yagK	291546	292172	-	209	1786473	orf, hypothetical protein	164	ORF
278	b0278	yagL	292444	293142	-	233	1786474	DNA-binding protein	165	ORF
279	b0279	yagM	293169	294023	-	285	2367101	orf, hypothetical protein	165	ORF
280	b0280	yagN	294363	294803	-	147	2367102	orf, hypothetical protein	166	ORF
281	b0281	intF	294920	296320	-	467	2367104	putative phage integrase	167	ORF
282	b0282	yagP	296605	297015	-	137	1786476	putative transcriptional regulator LYSR-type	168	ORF
283	b0283	yagQ	296994	297950	-	319	1786477	orf, hypothetical protein	168	ORF
284	b0284	yagR	297960	300158	-	733	1786478	orf, hypothetical protein	168	ORF
285	b0285	yagS	300155	301111	-	319	1786479	orf, hypothetical protein	168	ORF
286	b0286	yagT	301108	301797	-	230	1786480	putative xanthine dehydrogenase (EC 1.1.1.20)	168	ORF
287	b0287	yagU	302215	302829	+	205	1786481	orf, hypothetical protein	169	ORF
288	b0288	ykgJ	303077	303406	-	110	2367105	putative ferredoxin	170	ORF
289	b0289	yagV	303719	304474	-	252	1786482	orf, hypothetical protein	171	ORF
290	b0290	yagW	304398	306041	-	548	1786483	putative receptor	171	ORF
291	b0291	yagX	306031	308556	-	842	1786484	putative enzyme	171	ORF
292	b0292	yagY	308582	309250	-	223	1786485	orf, hypothetical protein	171	ORF
293	b0293	yagZ	309308	309895	-	196	1786486	orf, hypothetical protein	172	ORF
294	b0294	ykgK	309970	310560	-	197	2367106	putative regulator	173	ORF
295	b0295	ykgL	311336	311563	+	76	2367107	orf, hypothetical protein	174	ORF
296	b0296	ykgM	311738	312001	-	88	2367109	putative ribosomal protein	175	ORF
297	b0297	eaeH	313581	314468	+	296	1786488	attaching and effacing protein, pathogenesis factor	176	ORF
298	b0298	b0298	314506	314814	+	103	1786489	putative factor	176	ORF
299	b0299	tra5_5	314811	315677	+	289	1786490	IS3 putative transposase	176	ORF
300	b0300	ykgA	315674	316393	-	240	1786491	putative ARAC-type regulatory protein	177	ORF
301	b0301	ykgB	316950	317552	-	201	1786492	orf, hypothetical protein	178	ORF
302	b0302	b0302	317526	317795	+	90	1786493	orf, hypothetical protein	179	ORF
303	b0303	ykgI	317555	317806	-	84	1786494	orf, hypothetical protein	180	ORF
304	b0304	ykgC	317900	319252	-	451	1786495	putative oxidoreductase	181	ORF
305	b0305	ykgD	319451	320305	+	285	1786496	putative ARAC-type regulatory protein	182	ORF
306	b0306	ykgE	320832	321551	+	240	1786497	putative dehydrogenase subunit	183	ORF
